accession	d	p	c	o	f	g	s	species
GB_GCA_014361295.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__JACIVX01	g__JACIVX01	s__JACIVX01 sp014361295	JACIVX01 sp014361295
GB_GCA_012519255.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__DTU008	s__DTU008 sp012519255	DTU008 sp012519255
GB_GCA_012520845.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__JAAYNL01	s__JAAYNL01 sp012520845	JAAYNL01 sp012520845
GB_GCA_012515075.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__JAAYZC01	s__JAAYZC01 sp012515075	JAAYZC01 sp012515075
GB_GCA_006954405.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__MX-02	s__MX-02 sp006954405	MX-02 sp006954405
GB_GCA_003550345.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__PWHV01	s__PWHV01 sp003550345	PWHV01 sp003550345
GB_GCA_003555025.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__PWHV01	s__PWHV01 sp003555025	PWHV01 sp003555025
GB_GCA_003557905.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__PWHV01	s__PWHV01 sp003557905	PWHV01 sp003557905
GB_GCA_003560875.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__PWHV01	s__PWHV01 sp003560875	PWHV01 sp003560875
GB_GCA_007116915.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__PWHV01	s__PWHV01 sp007116915	PWHV01 sp007116915
GB_GCA_007117455.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__PWHV01	s__PWHV01 sp007117455	PWHV01 sp007117455
GB_GCA_001421175.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__RumEn-M2	s__RumEn-M2 sp001421175	RumEn-M2 sp001421175
GB_GCA_002502965.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__RumEn-M2	s__RumEn-M2 sp002502965	RumEn-M2 sp002502965
GB_GCA_002506255.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__RumEn-M2	s__RumEn-M2 sp002506255	RumEn-M2 sp002506255
GB_GCA_012522645.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__RumEn-M2	s__RumEn-M2 sp012522645	RumEn-M2 sp012522645
GB_GCA_013329105.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__UBA9915	s__UBA9915 sp9915u	UBA9915 sp9915u
GB_GCA_002498365.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__VadinCA11	s__VadinCA11 sp002498365	VadinCA11 sp002498365
GB_GCA_002498605.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__VadinCA11	s__VadinCA11 sp002498605	VadinCA11 sp002498605
GB_GCA_002505345.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__VadinCA11	s__VadinCA11 sp002505345	VadinCA11 sp002505345
GB_GCA_002509405.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__VadinCA11	s__VadinCA11 sp002509405	VadinCA11 sp002509405
GB_GCA_009776695.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__WRKA01	s__WRKA01 sp009776695	WRKA01 sp009776695
GB_GCA_009778265.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__WRKA01	s__WRKA01 sp009778265	WRKA01 sp009778265
GB_GCA_009780575.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__WRKA01	s__WRKA01 sp009780575	WRKA01 sp009780575
GB_GCA_009784745.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__WRKA01	s__WRKA01 sp009784745	WRKA01 sp009784745
GB_GCA_003135935.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__FEN-33	s__FEN-33 sp003135935	FEN-33 sp003135935
GB_GCA_002067045.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__UBA472	s__UBA472 sp002067045	UBA472 sp002067045
GB_GCA_004525545.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__UBA472	s__UBA472 sp004525545	UBA472 sp004525545
GB_GCA_012729095.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__UBA472	s__UBA472 sp012729095	UBA472 sp012729095
GB_GCA_013329565.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__UBA472	s__UBA472 sp8940u	UBA472 sp8940u
GB_GCA_011362635.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__RBG-16-68-12	f__RBG-16-68-12	g__RBG-16-68-12	s__RBG-16-68-12 sp011362635	RBG-16-68-12 sp011362635
GB_GCA_004377185.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__RBG-16-68-12	f__SOIM01	g__SOIM01	s__SOIM01 sp004377185	SOIM01 sp004377185
GB_GCA_001800675.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA10834	f__UBA10834	g__COMBO-56-21	s__COMBO-56-21 sp001800675	COMBO-56-21 sp001800675
GB_GCA_001800815.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA10834	f__UBA10834	g__COMBO-56-21	s__COMBO-56-21 sp001800815	COMBO-56-21 sp001800815
GB_GCA_013331315.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA10834	f__UBA10834	g__UBA10834	s__UBA10834 sp10834u	UBA10834 sp10834u
GB_GCA_011391345.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA10834	f__UBA10834	g__UBA9653	s__UBA9653 sp011391345	UBA9653 sp011391345
GB_GCA_013329135.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA10834	f__UBA10834	g__UBA9653	s__UBA9653 sp9653u	UBA9653 sp9653u
GB_GCA_011389385.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__40CM-2-53-6	f__DTGE01	g__DTGE01	s__DTGE01 sp011389385	DTGE01 sp011389385
GB_GCA_007050885.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__40CM-2-53-6	f__RBG-13-38-9	g__RBG-13-38-9	s__RBG-13-38-9 sp007050885	RBG-13-38-9 sp007050885
GB_GCA_011361905.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B24	f__B24	g__DTBU01	s__DTBU01 sp011361905	DTBU01 sp011361905
GB_GCA_011375775.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B24	f__DRYS01	g__DRYS01	s__DRYS01 sp011375775	DRYS01 sp011375775
GB_GCA_003661965.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B25	f__B25	g__EX4484-218	s__EX4484-218 sp003661965	EX4484-218 sp003661965
GB_GCA_002011035.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B25	f__B25	g__JdFR-11	s__JdFR-11 sp002011035	JdFR-11 sp002011035
GB_GCA_001399795.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__BA1	g__BA2	s__BA2 sp001399795	BA2 sp001399795
GB_GCA_004376645.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__SOJC01	g__SOJC01	s__SOJC01 sp004376645	SOJC01 sp004376645
GB_GCA_001273385.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__AD8-1	s__AD8-1 sp001273385	AD8-1 sp001273385
GB_GCA_011053435.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__DSLH01	s__DSLH01 sp011053435	DSLH01 sp011053435
GB_GCA_013388895.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__JACAEI01	s__JACAEI01 sp013388895	JACAEI01 sp013388895
GB_GCA_013388905.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__JACAEI01	s__JACAEI01 sp013388905	JACAEI01 sp013388905
